"P1=0, P2=0, P3=0","P1=0, P2=0, P3=1","P1=0, P2=1, P3=0","P1=0, P2=1, P3=1","P1=1, P2=0, P3=0","P1=1, P2=0, P3=1","P1=1, P2=1, P3=0","P1=1, P2=1, P3=1"
3158,2680,1822,1550,3034,2566,1804,1533
3,3,3,3,3,3,3,3
235.10450972098624,209.01319457701175,164.66007060999982,146.52692039799877,230.7763466850156,209.68294821400195,157.33379028103082,144.25054475601064
SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING
204.8014407157898,182.93191766738892,146.1576633453369,129.54946517944336,200.31794691085815,183.97114872932434,138.2203607559204,128.19059658050537
6081,5883,1387,1362,5701,5508,1384,1359
2,2,3,3,2,2,3,3
527.5818683770485,537.184840367001,175.76018732303055,169.09505605400773,474.4169246539823,466.8153509320109,172.70807303098263,176.30593335197773
SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING
431.7219796180725,430.4394598007202,148.20532894134521,141.9196424484253,390.4168417453766,385.9136242866516,146.06739592552185,146.2486641407013
4049,3360,703,586,3881,3212,696,579
1,1,2,2,1,1,2,2
363.28095108101843,310.7362861169968,109.73250397801166,104.70792131597409,352.48022959998343,303.46242427802645,96.17515978700249,86.61474332597572
SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING
313.6922461986542,271.6968834400177,97.95774745941162,93.83294701576233,306.0579342842102,265.1033787727356,84.97597789764404,77.91592073440552
2063,1947,1288,1205,1928,1814,1273,1190
3,3,3,3,3,3,3,3
179.39910969801713,169.86267099599354,135.39674857299542,129.70295684301527,171.22066626499873,163.71376651100582,133.82320656900993,128.98181277501862
SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING
157.4746608734131,149.0785984992981,120.70628809928894,116.00232148170471,150.57113599777222,144.21885919570923,119.31681728363037,115.42021465301514
5648,5458,3221,3097,5440,5260,3192,3068
2,2,2,2,2,2,2,2
397.69065429101465,384.56161879596766,252.881551227998,244.5464955919888,386.43998341599945,377.27458438201575,250.05866614199476,244.8975422429503
SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING,SOLVED_SATISFICING
331.0500295162201,320.233834028244,213.3728175163269,206.32608675956726,322.4039304256439,315.1955668926239,210.64920115470886,207.16901874542236
5136,4389,3892,3356,4959,4233,3828,3294
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
371.1165000720066,328.0565602889983,297.9673724420136,265.88723008998204,363.5889238839736,317.8168514900026,294.85206312697846,262.38839606096735
UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY,UNSOLVABLE_INCOMPLETELY
309.81270360946655,275.39776039123535,250.8746907711029,224.96817541122437,304.0407176017761,267.06367349624634,248.37371110916138,221.661048412323
8146,7931,3802,3674,7777,7571,3786,3658
5,3,6,6,7,5,6,6
